evolution_tree_id,pokemon_form_id,text_markup,text_html,grid_column,grid_row
12,44,{Moon Stone;ITEM;moon-stone},"<a href=""/items/moon-stone"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Moon Stone</span><img src=""https://cdn.pokedb.org/ea8b2d9198b708b2aeb5dd65372550e5cb701da54811bbe8b866869f5646efadw20h20"" width=""20"" height=""20"" alt=""Item Icon for Moon Stone"" style=""width: 20px; height: 20px""></a>",3,1
13,45,,,1,1
13,46,{Lv. 16;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 16</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
13,47,{Moon Stone;ITEM;moon-stone},"<a href=""/items/moon-stone"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Moon Stone</span><img src=""https://cdn.pokedb.org/ea8b2d9198b708b2aeb5dd65372550e5cb701da54811bbe8b866869f5646efadw20h20"" width=""20"" height=""20"" alt=""Item Icon for Moon Stone"" style=""width: 20px; height: 20px""></a>",3,1
14,227,,,1,1
14,48,{Lv. Up;ITEM;rare-candy} with high friendship,"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. Up</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a> with high friendship",2,1
14,49,{Moon Stone;ITEM;moon-stone},"<a href=""/items/moon-stone"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Moon Stone</span><img src=""https://cdn.pokedb.org/ea8b2d9198b708b2aeb5dd65372550e5cb701da54811bbe8b866869f5646efadw20h20"" width=""20"" height=""20"" alt=""Item Icon for Moon Stone"" style=""width: 20px; height: 20px""></a>",3,1
15,50,,,1,1
15,52,{Fire Stone;ITEM;fire-stone},"<a href=""/items/fire-stone"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Fire Stone</span><img src=""https://cdn.pokedb.org/d9b8cf42637b5907cb87a1bfe4b0794e8daa33d0d49314b64dbf18ec5f2ce2dcw20h20"" width=""20"" height=""20"" alt=""Item Icon for Fire Stone"" style=""width: 20px; height: 20px""></a>",2,1
15,51,,,1,2
15,53,{Ice Stone;ITEM;ice-stone},"<a href=""/items/ice-stone"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Ice Stone</span><img src=""https://cdn.pokedb.org/708b3dd3236a71c0a373d6903488f91f31f81eae9556649b46cadbb41afc3bcdw20h20"" width=""20"" height=""20"" alt=""Item Icon for Ice Stone"" style=""width: 20px; height: 20px""></a>",2,2
16,228,,,1,1
16,54,{Lv. Up;ITEM;rare-candy} with high friendship,"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. Up</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a> with high friendship",2,1
16,55,{Moon Stone;ITEM;moon-stone},"<a href=""/items/moon-stone"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Moon Stone</span><img src=""https://cdn.pokedb.org/ea8b2d9198b708b2aeb5dd65372550e5cb701da54811bbe8b866869f5646efadw20h20"" width=""20"" height=""20"" alt=""Item Icon for Moon Stone"" style=""width: 20px; height: 20px""></a>",3,1
17,56,,,1,1
17,57,{Lv. 22;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 22</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
17,223,{Lv. Up;ITEM;rare-candy} with high friendship,"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. Up</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a> with high friendship",3,1
18,58,,,1,1 / span 2
18,59,{Lv. 21;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 21</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1 / span 2
18,60,{Leaf Stone;ITEM;leaf-stone},"<a href=""/items/leaf-stone"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Leaf Stone</span><img src=""https://cdn.pokedb.org/d401954c5ed28dae006091515619b1f0287b264719b1223f7e5a9aebf5ae9c27w20h20"" width=""20"" height=""20"" alt=""Item Icon for Leaf Stone"" style=""width: 20px; height: 20px""></a>",3,1
18,237,{Sun Stone;ITEM;sun-stone},"<a href=""/items/sun-stone"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Sun Stone</span><img src=""https://cdn.pokedb.org/38b90795eb90afca226b7010114d66881cd064a47a8c406b965df388e17702c7w20h20"" width=""20"" height=""20"" alt=""Item Icon for Sun Stone"" style=""width: 20px; height: 20px""></a>",3,2
19,61,,,1,1
19,62,{Lv. 24;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 24</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
20,63,,,1,1
20,64,{Lv. 31;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 31</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
21,65,,,1,1
21,67,{Lv. 26;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 26</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
21,66,,,1,2
21,68,{Lv. 26;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 26</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,2
22,69,,,1,1
22,72,{Lv. 28;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 28</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
22,70,,,1,2
22,73,{Lv. 28;ITEM;rare-candy} in {lpge;GAME;lets-go-pikachu-lets-go-eevee} <br/> {Lv. Up;ITEM;rare-candy} with high friendship,"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 28</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a> in <div class=""inline-flex max-w-max overflow-hidden rounded-md border-[2px] border-solid border-black""><span class=""flex h-full w-max items-center justify-center justify-items-center px-1 text-center font-bold"" style=""background-color: #e6b948; color: #000000;"">LGP</span><span class=""flex h-full w-max items-center justify-center justify-items-center px-1 text-center font-bold"" style=""background-color: #8a6a19; color: #FFFFFF;"">LGE</span></div> <br> <a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. Up</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a> with high friendship",2,2
22,71,,,1,3
22,1097,{Lv. 28;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 28</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,3
23,74,,,1,1
23,75,{Lv. 33;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 33</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
24,76,,,1,1
24,77,{Lv. 28;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 28</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
24,1233,use {Rage Fist;MOVE;rage-fist} 20 times,"use <a href=""/moves/rage-fist"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Rage Fist</span></a> 20 times",3,1
25,78,,,1,1
25,80,{Fire Stone;ITEM;fire-stone},"<a href=""/items/fire-stone"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Fire Stone</span><img src=""https://cdn.pokedb.org/d9b8cf42637b5907cb87a1bfe4b0794e8daa33d0d49314b64dbf18ec5f2ce2dcw20h20"" width=""20"" height=""20"" alt=""Item Icon for Fire Stone"" style=""width: 20px; height: 20px""></a>",2,1
25,79,,,1,2
25,81,{Fire Stone;ITEM;fire-stone},"<a href=""/items/fire-stone"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Fire Stone</span><img src=""https://cdn.pokedb.org/d9b8cf42637b5907cb87a1bfe4b0794e8daa33d0d49314b64dbf18ec5f2ce2dcw20h20"" width=""20"" height=""20"" alt=""Item Icon for Fire Stone"" style=""width: 20px; height: 20px""></a>",2,2
26,82,,,1,1 / span 2
26,83,{Lv. 25;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 25</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1 / span 2
26,84,{Water Stone;ITEM;water-stone},"<a href=""/items/water-stone"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Water Stone</span><img src=""https://cdn.pokedb.org/cf9ed4e2d4b434ce22fe34e7b6d738f3bd4bd634169ddb04f05d13cf85ad56aaw20h20"" width=""20"" height=""20"" alt=""Item Icon for Water Stone"" style=""width: 20px; height: 20px""></a>",3,1
26,241,{Trade;MISC;TRADE} holding {King's Rock;ITEM;kings-rock},"<span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Trade</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/trade.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> holding <a href=""/items/kings-rock"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>King's Rock</span><img src=""https://cdn.pokedb.org/579ff12e1ea139c137ba3605736aa02f6f28bae04fefe16a9ec0408fb9ccb07dw20h20"" width=""20"" height=""20"" alt=""Item Icon for King's Rock"" style=""width: 20px; height: 20px""></a>",3,2
27,85,,,1,1
27,86,{Lv. 16;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 16</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
27,87,{Trade;MISC;TRADE},"<span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Trade</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/trade.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>",3,1
28,89,,,1,1
28,90,{Lv. 28;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 28</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
28,91,{Trade;MISC;TRADE},"<span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Trade</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/trade.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>",3,1
29,92,,,1,1
29,93,{Lv. 21;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 21</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
29,94,{Leaf Stone;ITEM;leaf-stone},"<a href=""/items/leaf-stone"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Leaf Stone</span><img src=""https://cdn.pokedb.org/d401954c5ed28dae006091515619b1f0287b264719b1223f7e5a9aebf5ae9c27w20h20"" width=""20"" height=""20"" alt=""Item Icon for Leaf Stone"" style=""width: 20px; height: 20px""></a>",3,1
30,95,,,1,1
30,96,{Lv. 30;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 30</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
31,97,,,1,1
31,99,{Lv. 25;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 25</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
31,101,{Trade;MISC;TRADE},"<span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Trade</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/trade.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>",3,1
31,98,,,1,2
31,100,{Lv. 25;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 25</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,2
31,102,{Trade;MISC;TRADE},"<span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Trade</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/trade.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>",3,2
32,103,,,1,1
32,105,{Lv. 40;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 40</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
32,104,,,1,2
32,106,{Lv. 40;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 40</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,2
33,107,,,1,1 / span 2
